title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Honda N One Premium 2014,2650000,Lahore,2014,82000,Petrol,Automatic,Lahore,Blue,Imported,660,04/05/2024,Medium,Medium,Saturday,10
Honda City Aspire Prosmatec 1.5 i-VTEC 2016,3600000,Karachi,2016,45000,Petrol,Automatic,Karachi,Unlisted,Local,1500,04/05/2024,Medium,Low,Saturday,8
Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,3695000,Lahore,2013,75504,Petrol,Automatic,Lahore,Indigo,Local,1800,04/05/2024,Medium,Medium,Saturday,11
Toyota Prius S LED Edition 1.8 2014,4650000,Peshawar,2014,170000,Hybrid,Automatic,Islamabad,White,Imported,1800,04/05/2024,High,High,Saturday,10
Daihatsu Mira ES 2013,2530000,Rawalpindi,2013,68000,Petrol,Automatic,Islamabad,Black,Imported,660,04/05/2024,Medium,Medium,Saturday,11
Toyota Corolla Altis CVT-i 1.8 2015,3565000,Karachi,2015,87000,Petrol,Automatic,Sindh,Dorado Gold,Local,1800,04/05/2024,Medium,Medium,Saturday,9
Honda City 1.3 i-VTEC 2013,2700000,Lahore,2013,119000,Petrol,Not Available,Lahore,Modern Steel Metallic,Local,1300,04/05/2024,Medium,High,Saturday,11
Suzuki Cultus EURO II 2015,1590000,Karachi,2015,49000,Petrol,Not Available,Karachi,Silky Silver,Local,1000,04/05/2024,Low,Low,Saturday,9
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2013,3250000,Karachi,2013,68000,Petrol,Automatic,Karachi,Grey,Local,1800,04/05/2024,Medium,Medium,Saturday,11
Honda City Aspire 1.5 i-VTEC 2014,2950000,Lahore,2014,87000,Petrol,Not Available,Lahore,Ralley Red,Local,1500,04/05/2024,Medium,Medium,Saturday,10
Toyota Corolla GLi Automatic Limited Edition 1.6 VVTi 2013,2750000,Gujranwala,2013,150000,Petrol,Automatic,Lahore,Black,Local,1600,04/05/2024,Medium,High,Saturday,11
Toyota Corolla 1974,800000,Peshawar,2013,110000,Petrol,Not Available,Peshawar,Silver,Imported,1200,04/05/2024,Low,High,Saturday,11
Toyota Prius G Touring Selection Leather Package 1.8 2015,4750000,Lahore,2015,120000,Hybrid,Automatic,Punjab,Black,Imported,1800,04/05/2024,High,High,Saturday,9
Suzuki Swift DX 1.3 2014,1700000,Hyderabad,2014,110000,Petrol,Not Available,Sindh,Gold,Local,1300,04/05/2024,Low,High,Saturday,10
Honda Vezel Hybrid X 2014,5100000,Islamabad,2014,70000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,04/05/2024,High,Medium,Saturday,10
Honda Civic Oriel 1.8 i-VTEC CVT 2016,4750000,Multan,2016,108000,Petrol,Automatic,Islamabad,White,Local,1800,04/05/2024,High,High,Saturday,8
Toyota Corolla XLi VVTi 2014,2970000,Islamabad,2014,190000,Petrol,Not Available,Lahore,Black,Local,1300,04/05/2024,Medium,High,Saturday,10
Toyota Aqua S 2013,3750000,Islamabad,2013,210000,Hybrid,Automatic,Lahore,Grey,Imported,1500,03/05/2024,Medium,High,Friday,11
Nissan Clipper DX 2014,1820000,Karachi,2014,136000,Petrol,Automatic,Karachi,Silver,Imported,660,04/05/2024,Low,High,Saturday,10
Suzuki MR Wagon G 2015,1825000,Gujrat,2015,100000,Petrol,Automatic,Lahore,Pearl Metallic Cashmere Blue,Imported,660,04/05/2024,Low,Medium,Saturday,9
Honda Vezel Hybrid Z 2016,5200000,Lahore,2016,130000,Hybrid,Automatic,Islamabad,Blue,Imported,1500,04/05/2024,High,High,Saturday,8
Honda Civic Turbo 1.5 VTEC CVT 2016,5300000,Lahore,2016,56552,Petrol,Automatic,Lahore,White,Local,1500,04/05/2024,High,Medium,Saturday,8
Toyota Camry Hybrid 2014,8450000,Islamabad,2014,113000,Hybrid,Automatic,Islamabad,Black Sand Pearl,Imported,2500,03/05/2024,High,High,Friday,10
Toyota Corolla Altis Automatic 1.6 2016,4150000,Swabi,2016,97000,Petrol,Automatic,Islamabad,Bronze,Local,1600,04/05/2024,High,Medium,Saturday,8
Honda Vezel Hybrid Z 2016,5900000,Islamabad,2016,140000,Hybrid,Automatic,Lahore,White,Imported,1500,04/05/2024,High,High,Saturday,8
Suzuki Cultus Limited Edition 2014,1500000,Lahore,2014,90000,Petrol,Not Available,Lahore,Grey,Local,1000,04/05/2024,Low,Medium,Saturday,10
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,3450000,Bhalwal,2014,155000,Petrol,Automatic,Islamabad,Gun Matlic,Local,1800,04/05/2024,Medium,High,Saturday,10
Suzuki Cultus EURO II 2015,1550000,Faisalabad,2015,60000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,04/05/2024,Low,Medium,Saturday,9
Suzuki Cultus Limited Edition 2016,1650000,Karachi,2016,51000,Petrol,Not Available,Karachi,White,Local,1000,04/05/2024,Low,Medium,Saturday,8
Suzuki Swift DLX 1.3 2016,1960000,Lahore,2016,66000,Petrol,Not Available,Lahore,White,Local,1300,04/05/2024,Low,Medium,Saturday,8
Suzuki Alto VX 2024,2550000,Karachi,2013,2000,Petrol,Not Available,Un-Registered,White,Local,660,03/05/2024,Medium,Low,Friday,11
Daihatsu Mira X Memorial Edition 2016,2470000,Karachi,2016,116500,Petrol,Automatic,Sindh,Red,Imported,660,04/05/2024,Medium,High,Saturday,8
Toyota Corolla Altis Grande CVT-i 1.8 2014,3975000,Lahore,2014,150000,Petrol,Automatic,Islamabad,Black,Local,1800,03/05/2024,Medium,High,Friday,10
Toyota Corolla 2016,3950000,Islamabad,2016,115624,Petrol,Automatic,Islamabad,Black,Local,1300,03/05/2024,Medium,High,Friday,8
Suzuki Mehran VXR Euro II 2014,1365000,Islamabad,2014,22000,Petrol,Not Available,Islamabad,Silky Silver,Local,796,03/05/2024,Low,Low,Friday,10
Honda Grace Hybrid EX 2014,3975000,Karachi,2014,115000,Hybrid,Automatic,Sindh,Grey,Imported,1500,03/05/2024,Medium,High,Friday,10
Toyota Sienta G 2015,4675000,Karachi,2015,130000,Petrol,Automatic,Sindh,Quartz Brown Metallic,Imported,1500,03/05/2024,High,High,Friday,9
Toyota Corolla GLi Automatic 1.3 VVTi 2015,3400000,Lahore,2015,125000,Petrol,Automatic,Lahore,Attitude Black,Local,1300,04/05/2024,Medium,High,Saturday,9
Toyota Corolla XLi VVTi 2013,2725000,Lahore,2013,185000,Petrol,Not Available,Lahore,Black,Local,1300,04/05/2024,Medium,High,Saturday,11
Toyota Corolla Altis 1.8 2015,3960000,Lahore,2015,130000,Petrol,Not Available,Lahore,Super White,Local,1800,03/05/2024,Medium,High,Friday,9
Honda City Aspire 1.5 i-VTEC 2013,2400000,Lahore,2013,150000,Petrol,Not Available,Lahore,Lunar Silver Metallic,Local,1500,03/05/2024,Medium,High,Friday,11
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,3779999,Lahore,2014,85540,Petrol,Automatic,Lahore,Taffeta White,Local,1800,03/05/2024,Medium,Medium,Friday,10
Suzuki Mehran VX Euro II 2013,1170000,Islamabad,2013,52000,Petrol,Not Available,Lahore,White,Local,800,03/05/2024,Low,Medium,Friday,11
Toyota Prius Alpha G Touring 2015,7000000,Islamabad,2015,195000,Petrol,Automatic,Islamabad,Mellinnum Silver,Imported,1800,03/05/2024,High,High,Friday,9
Honda Vezel Hybrid X 2015,4595000,Lahore,2015,125000,Hybrid,Automatic,Punjab,Green,Imported,1500,03/05/2024,High,High,Friday,9
Honda City Aspire 1.5 i-VTEC 2014,2750000,Lahore,2014,136000,Petrol,Not Available,Lahore,Grey,Local,1500,03/05/2024,Medium,High,Friday,10
Suzuki Bolan VX Euro II 2015,900000,Lahore,2015,86000,Petrol,Not Available,Punjab,Solid White,Local,800,03/05/2024,Low,Medium,Friday,9
Toyota Corolla GLi Automatic 1.3 VVTi 2015,3725000,Gujar khan,2015,81700,Petrol,Automatic,Islamabad,White,Local,1300,03/05/2024,Medium,Medium,Friday,9
Toyota Corolla GLi Automatic 1.3 VVTi 2016,3795000,Lahore,2016,71000,Petrol,Automatic,Lahore,Attitude Black,Local,1300,03/05/2024,Medium,Medium,Friday,8
Toyota Vitz F 1.0 2013,3200000,Kohat,2013,105000,Petrol,Automatic,Islamabad,Polar White,Imported,1000,03/05/2024,Medium,High,Friday,11
Nissan Dayz Highway star G 2014,2520000,Karachi,2014,100000,Petrol,Automatic,Sindh,Silver,Imported,660,03/05/2024,Medium,Medium,Friday,10
Toyota Passo X 2014,2895000,Islamabad,2014,80000,Petrol,Automatic,Lahore,Silver Purple,Imported,1000,03/05/2024,Medium,Medium,Friday,10
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2016,4100000,Islamabad,2016,115000,Petrol,Automatic,Karachi,Taffeta White,Local,1800,03/05/2024,High,High,Friday,8
Toyota Corolla GLi Automatic 1.3 VVTi 2015,3500000,Gujrat,2015,132000,Petrol,Automatic,Islamabad,White,Local,1300,03/05/2024,Medium,High,Friday,9
Daihatsu Mira ES 2015,2795000,Islamabad,2015,110000,Petrol,Automatic,Islamabad,Metallic Silver,Imported,660,03/05/2024,Medium,High,Friday,9
Daihatsu Move X 2014,2290000,Rawalpindi,2014,118000,Petrol,Automatic,Islamabad,White,Imported,660,03/05/2024,Medium,High,Friday,10
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2013,3500000,Sargodha,2013,107000,Petrol,Automatic,Punjab,Taffeta White,Local,1800,03/05/2024,Medium,High,Friday,11
Honda City 1.3 i-VTEC 2015,2850000,Rahim yar khan,2015,102000,Petrol,Not Available,Sindh,Grey,Local,1300,03/05/2024,Medium,High,Friday,9
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2013,3190000,Karachi,2013,167000,Petrol,Automatic,Karachi,White,Local,1800,03/05/2024,Medium,High,Friday,11
Nissan Dayz Highway star X 2016,2980000,Islamabad,2016,92000,Petrol,Automatic,Islamabad,White,Imported,660,03/05/2024,Medium,Medium,Friday,8
Toyota Vitz F 1.0 2014,3165000,Islamabad,2014,65500,Petrol,Automatic,Islamabad,Silver,Imported,1000,03/05/2024,Medium,Medium,Friday,10
Suzuki Mehran VXR Euro II 2014,1220000,Islamabad,2014,79309,Petrol,Not Available,Islamabad,Graphite Grey,Local,796,03/05/2024,Low,Medium,Friday,10
Honda Spike 2014,3400000,Lahore,2014,91000,Hybrid,Automatic,Punjab,Black,Imported,1500,03/05/2024,Medium,Medium,Friday,10
Suzuki Swift DLX 1.3 2014,1864999,Lahore,2014,67000,Petrol,Not Available,Karachi,Grey,Local,1300,03/05/2024,Low,Medium,Friday,10
Suzuki Mehran VX Euro II 2015,1210000,Islamabad,2015,115000,Petrol,Not Available,Islamabad,Solid White,Local,796,03/05/2024,Low,High,Friday,9
