title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Suzuki Alto VXR 2011,860000,Karachi,2011,35000,Petrol,Not Available,Sindh,Silky Silver,Local,1000,04/05/2024,Low,Low,Saturday,13
Suzuki Cultus VXRi 2012,1300000,Lahore,2012,150000,Petrol,Not Available,Sindh,Green,Local,1000,04/05/2024,Low,High,Saturday,12
Toyota Corolla GLi 1.3 VVTi 2009,2120000,Lahore,2009,169146,Petrol,Not Available,Karachi,Gold,Local,1300,04/05/2024,Low,High,Saturday,15
Mercedes Benz C Class C180 2007,2800000,Rawalpindi,2007,185000,Petrol,Automatic,Lahore,Blue,Imported,1800,04/05/2024,Medium,High,Saturday,17
Toyota Corolla Altis Cruisetronic 1.8 2010,3125000,Islamabad,2010,147000,Petrol,Automatic,Islamabad,Silver,Local,1800,04/05/2024,Medium,High,Saturday,14
Toyota Corolla 1988,900000,Karachi,2008,100000,Petrol,Not Available,Sindh,White,Local,1300,04/05/2024,Low,Medium,Saturday,16
Suzuki Alto VXR (CNG) 2009,1250000,Rawalpindi,2009,119000,Petrol,Not Available,Islamabad,White,Local,1000,04/05/2024,Low,High,Saturday,15
Toyota Corolla XLi VVTi 2012,2390000,Gujranwala,2012,95000,Petrol,Not Available,Lahore,White,Local,1300,04/05/2024,Medium,Medium,Saturday,12
Toyota Corolla 2007,3800000,Islamabad,2007,125000,Petrol,Automatic,Islamabad,White,Imported,1500,04/05/2024,Medium,High,Saturday,17
Nissan Cefiro 2007,4300000,Islamabad,2007,106000,Petrol,Automatic,Sindh,White,Imported,2300,04/05/2024,High,High,Saturday,17
Toyota Hiace TRH 214 2012,5500000,Dadyal ak,2012,125000,Petrol,Automatic,Lahore,Black,Imported,2700,04/05/2024,High,High,Saturday,12
Honda Civic VTi Prosmatec 1.8 i-VTEC 2008,1950000,Rawalpindi,2008,254685,Petrol,Automatic,Islamabad,Black,Local,1800,04/05/2024,Low,High,Saturday,16
Suzuki Alto VXR 2009,990000,Lahore,2009,100000,Petrol,Not Available,Lahore,Indica,Local,1000,04/05/2024,Low,Medium,Saturday,15
Honda Civic VTi 1.8 i-VTEC 2008,1960000,Rawalpindi,2008,217000,Petrol,Not Available,Islamabad,White,Local,1800,04/05/2024,Low,High,Saturday,16
Toyota Corolla GLi Automatic 1.6 VVTi 2011,2350000,Abbottabad,2011,107560,Petrol,Automatic,Sindh,Silver,Local,1300,04/05/2024,Medium,High,Saturday,13
Toyota Land Cruiser AX G Selection 2008,21500000,Lahore,2008,102000,Petrol,Automatic,Lahore,White,Imported,4600,04/05/2024,High,High,Saturday,16
Hyundai Santro Club GV 2008,1275000,Lahore,2008,151,Petrol,Not Available,Lahore,Blue,Local,1100,04/05/2024,Low,Low,Saturday,16
Suzuki Mehran VX (CNG) 2008,600000,Lahore,2008,100000,Not Available,Not Available,Lahore,Blue,Local,800,04/05/2024,Low,Medium,Saturday,16
Toyota Aqua S 2012,3300000,Karachi,2012,150,Hybrid,Automatic,Karachi,Grey,Imported,1500,04/05/2024,Medium,Low,Saturday,12
Toyota Surf SSR-G 3.0D 1989,2350000,Lahore,2010,50000,Diesel,Automatic,Lahore,Red,Imported,3000,04/05/2024,Medium,Low,Saturday,14
Honda Civic VTi Oriel 1.8 i-VTEC 2009,2300000,Lahore,2009,174000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,03/05/2024,Medium,High,Friday,15
Toyota Land Cruiser ZX 2011,24200000,Lahore,2011,89000,Petrol,Automatic,Punjab,Black,Imported,4600,03/05/2024,High,Medium,Friday,13
Toyota Prado TX 2.7 2007,7550000,Karachi,2007,99000,Petrol,Automatic,Sindh,Crystal Pearl,Imported,2700,03/05/2024,High,Medium,Friday,17
Suzuki Alto VXR 2012,1200000,Multan,2012,60000,Petrol,Not Available,Punjab,Solid White,Local,1000,04/05/2024,Low,Medium,Saturday,12
Toyota Vitz B S Edition 1.0 2009,2450000,Islamabad,2009,96582,Petrol,Automatic,Lahore,White,Imported,1000,04/05/2024,Medium,Medium,Saturday,15
Honda Civic VTi Oriel 1.8 i-VTEC 2009,2200000,Narowal,2009,88000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,04/05/2024,Low,Medium,Saturday,15
Lexus CT200h Version L 2011,5300000,Islamabad,2011,151000,Hybrid,Automatic,Islamabad,Silver,Imported,1800,04/05/2024,High,High,Saturday,13
Toyota Vitz F 1.0 2010,2290000,Lahore,2010,130000,Petrol,Automatic,Lahore,Black Sand Pearl,Imported,1000,03/05/2024,Medium,High,Friday,14
Honda Civic VTi 1.8 i-VTEC 2008,2150000,Lahore,2008,230000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,04/05/2024,Low,High,Saturday,16
Toyota Prius 2012,4575000,Lahore,2012,145123,Hybrid,Automatic,Lahore,White,Imported,1800,04/05/2024,High,High,Saturday,12
Audi A4 1.8 TFSI 2011,6300000,Karachi,2011,63000,Petrol,Automatic,Karachi,Black,Imported,1800,03/05/2024,High,Medium,Friday,13
Honda City 1.3 i-VTEC 2010,2550000,Islamabad,2010,117700,Petrol,Not Available,Islamabad,Silver,Local,1300,03/05/2024,Medium,High,Friday,14
Suzuki Mehran VXR 2011,635000,Rawalpindi,2011,100,Petrol,Not Available,Karachi,White,Local,800,04/05/2024,Low,Low,Saturday,13
Toyota Vitz B Intelligent Package 1.0 2007,2080000,Lahore,2007,140000,Petrol,Automatic,Lahore,Grey,Imported,1000,04/05/2024,Low,High,Saturday,17
Toyota Corolla GLi 1.3 VVTi 2011,2850000,Chashma,2011,105300,Petrol,Not Available,Islamabad,Silver Metallic,Local,1300,04/05/2024,Medium,High,Saturday,13
