title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Honda City i-DSI 2004,1750000,Bahawalpur,2004,210000,Petrol,Not Available,Punjab,Metallic Grey,Local,1300,04/05/2024,Low,High,Saturday,20
Honda Civic VTi Oriel 1.6 2006,1700000,Haripur,2006,200000,Petrol,Not Available,Lahore,Silver,Imported,1600,04/05/2024,Low,High,Saturday,18
Suzuki Alto 1991,295000,Charsadda,1991,200000,Not Available,Not Available,Lahore,Red,Local,660,04/05/2024,Low,High,Saturday,33
Suzuki Cultus VXR (CNG) 2003,790000,Kamra,2003,69869,Petrol,Not Available,Lahore,Solid White,Local,1000,04/05/2024,Low,Medium,Saturday,21
Toyota Vitz F 1.0 2000,1600000,Swabi,2000,85000,Petrol,Automatic,Islamabad,Pink,Imported,1000,04/05/2024,Low,Medium,Saturday,24
Nissan Sunny 1987,650000,Rawalpindi,1999,100000,Not Available,Not Available,Sindh,White,Imported,1600,04/05/2024,Low,Medium,Saturday,25
Honda Accord EX 1993,1230000,Faisalabad,1993,100000,Petrol,Automatic,Karachi,Blue,Imported,1500,04/05/2024,Low,Medium,Saturday,31
Mitsubishi Pajero Evolution 1993,2475000,Rawalpindi,1993,244746,Petrol,Automatic,Karachi,Silver,Local,3500,04/05/2024,Medium,High,Saturday,31
Toyota Corolla G L Package 1.5 2005,1380000,Lahore,2005,170,Petrol,Not Available,Lahore,Silver,Local,1500,04/05/2024,Low,Low,Saturday,19
Toyota Corolla GL Saloon 1986,1900000,Karachi,1998,846824,Petrol,Automatic,Sindh,White,Local,1500,04/05/2024,Low,High,Saturday,26
BMW 7 Series 745Li 2005,6750000,Islamabad,2005,160000,Petrol,Automatic,Islamabad,White,Imported,4000,04/05/2024,High,High,Saturday,19
Honda Civic EXi Automatic 1999,1200000,Rawalpindi,1999,300,Petrol,Automatic,Lahore,White,Local,1500,04/05/2024,Low,Low,Saturday,25
Honda Civic EXi 2005,1995000,Islamabad,2005,190000,Petrol,Not Available,Islamabad,Black,Local,1500,04/05/2024,Low,High,Saturday,19
Mercedes Benz C Class C180 2006,3800000,Lahore,2006,157355,Petrol,Automatic,Lahore,Iridium Silver,Local,1800,04/05/2024,Medium,High,Saturday,18
Toyota Corolla 1998,2150000,Islamabad,1998,123,Petrol,Automatic,Islamabad,Silver,Imported,1500,04/05/2024,Low,Low,Saturday,26
Suzuki Margalla GL Plus 1998,1325000,Rawalpindi,1998,81000,Petrol,Not Available,Islamabad,White,Local,1300,04/05/2024,Low,Medium,Saturday,26
Suzuki Mehran VXR (CNG) 2005,730000,Rawalpindi,2005,106000,Petrol,Not Available,Islamabad,White,Local,800,04/05/2024,Low,High,Saturday,19
Honda City i-DSI 2006,1385000,Sialkot,2006,200000,Petrol,Not Available,Lahore,Crystal Black,Local,1300,04/05/2024,Low,High,Saturday,18
Honda Civic VTi Oriel 1.6 2005,1590000,Islamabad,2005,170000,Petrol,Not Available,Lahore,Grey,Local,1600,03/05/2024,Low,High,Friday,19
BMW 5 Series 530i 2003,2870000,Peshawar,2003,123000,Petrol,Automatic,Karachi,White,Imported,3000,04/05/2024,Medium,High,Saturday,21
Suzuki FX GA 1983,390000,Lahore,2006,100000,Petrol,Not Available,Lahore,Orange,Local,800,04/05/2024,Low,Medium,Saturday,18
Toyota Corolla GL 2002,1175000,Karachi,2002,280000,Petrol,Not Available,Sindh,Silver Metallic,Local,1300,04/05/2024,Low,High,Saturday,22
Honda Civic VTi Prosmatec 1.8 i-VTEC 2006,3100000,Islamabad,2006,240000,Petrol,Automatic,Islamabad,Silver,Imported,1800,04/05/2024,Medium,High,Saturday,18
Honda City EXi 2002,1100000,Lahore,2002,200000,Petrol,Not Available,Lahore,Turquoise,Local,1300,04/05/2024,Low,High,Saturday,22
