title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Suzuki Vitara GLX 1.6 2017,0,Karachi,2017,67000,Petrol,Automatic,Karachi,Grey,Imported,1600,04/05/2024,Low,Medium,Saturday,7
BMW X1 sDrive18i 2017,10700000,Islamabad,2017,37000,Petrol,Automatic,Islamabad,White,Imported,1500,04/05/2024,High,Low,Saturday,7
Honda City Aspire Prosmatec 1.5 i-VTEC 2019,4250000,Karachi,2019,22000,Petrol,Automatic,Karachi,Unlisted,Local,1500,04/05/2024,High,Low,Saturday,5
Honda Civic 1.8 i-VTEC CVT 2019,5200000,Lahore,2019,58000,Petrol,Automatic,Sindh,Burgundy,Local,1800,04/05/2024,High,Medium,Saturday,5
Toyota Passo Moda G 2018,3500000,Lahore,2018,48000,Petrol,Automatic,Punjab,Blue,Imported,1000,04/05/2024,Medium,Low,Saturday,6
Toyota C-HR S-LED 2017,7450000,Rawalpindi,2017,110000,Hybrid,Automatic,Islamabad,Silver Metallic,Imported,1800,04/05/2024,High,High,Saturday,7
Honda Vezel Hybrid Z 2018,6900000,Daska,2018,100000,Hybrid,Automatic,Un-Registered,White,Imported,1500,04/05/2024,High,Medium,Saturday,6
Toyota Aqua S 2017,3650000,Lahore,2017,140000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,04/05/2024,Medium,High,Saturday,7
Suzuki Wagon R VXL 2018,2250000,Lahore,2018,135000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,04/05/2024,Medium,High,Saturday,6
Honda Vezel Hybrid Z Honda Sensing  2018,7650000,Islamabad,2018,63000,Petrol,Automatic,Un-Registered,Black,Imported,1500,04/05/2024,High,Medium,Saturday,6
Toyota Prius PHV (Plug In Hybrid) 2017,5480000,Karachi,2017,64282,Hybrid,Automatic,Sindh,White,Imported,1800,04/05/2024,High,Medium,Saturday,7
Suzuki Mehran VXR Euro II 2017,1200000,Dadu,2017,55000,Petrol,Not Available,Badin,Silver,Local,800,04/05/2024,Low,Medium,Saturday,7
Honda City 1.3 i-VTEC Prosmatec 2018,3725000,Islamabad,2018,45000,Petrol,Automatic,Punjab,White,Local,1300,04/05/2024,Medium,Low,Saturday,6
Suzuki Every Wagon PZ Turbo 2019,3300000,Karachi,2019,73500,Petrol,Automatic,Un-Registered,White,Imported,660,04/05/2024,Medium,Medium,Saturday,5
Honda Civic Turbo 1.5 VTEC CVT 2017,5300000,Hyderabad,2017,57000,Petrol,Automatic,Sindh,Lunar Silver Metallic,Local,1500,04/05/2024,High,Medium,Saturday,7
Honda Vezel Hybrid Z 2019,7695000,Lahore,2019,69000,Hybrid,Automatic,Un-Registered,Black,Imported,1500,04/05/2024,High,Medium,Saturday,5
Toyota Land Cruiser ZX 2018,47000000,Lahore,2018,17000,Petrol,Automatic,Un-Registered,White,Imported,4600,04/05/2024,High,Low,Saturday,6
Honda Civic Oriel 1.8 i-VTEC CVT 2018,5255000,Islamabad,2018,114000,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,1800,04/05/2024,High,High,Saturday,6
Toyota Corolla GLi 1.3 VVTi 2017,3800000,Lahore,2017,79984,Petrol,Not Available,Punjab,White,Local,1300,04/05/2024,Medium,Medium,Saturday,7
Toyota Vitz F 1.0 2018,3550000,Karachi,2018,90000,Petrol,Automatic,Sindh,Blue Metallic,Imported,996,04/05/2024,Medium,Medium,Saturday,6
Toyota Prado TX L Package 2.7 2019,26600000,Lahore,2019,19000,Petrol,Automatic,Un-Registered,Black,Imported,2700,03/05/2024,High,Low,Friday,5
Toyota Aqua S 2017,5250000,Karachi,2017,85000,Hybrid,Automatic,Sindh,Silver,Imported,1500,04/05/2024,High,Medium,Saturday,7
Daihatsu Move Custom X 2017,2350000,Gujranwala,2017,114000,Petrol,Automatic,Lahore,Maroon,Imported,660,04/05/2024,Medium,High,Saturday,7
Toyota C-HR G-LED 2019,0,Lahore,2019,48000,Hybrid,Automatic,Un-Registered,White Pearl,Imported,1800,03/05/2024,Low,Low,Friday,5
Toyota Prado TX 2.8 D AT 2018,28500000,Lahore,2018,52000,Diesel,Automatic,Un-Registered,Superior White,Local,2755,03/05/2024,High,Medium,Friday,6
Toyota Vitz F Safety Edition III 2018,3675000,Karachi,2018,80000,Petrol,Automatic,Sindh,Grey,Imported,1300,04/05/2024,Medium,Medium,Saturday,6
Toyota Corolla 2018,8600000,Peshawar,2018,31000,Petrol,Automatic,Un-Registered,Beige,Imported,1500,03/05/2024,High,Low,Friday,6
Datsun 120 Y 1974,680000,Lahore,2019,30000,Petrol,Not Available,Rawalpindi,Red,Local,1500,04/05/2024,Low,Low,Saturday,5
